1,Albert Park Grand Prix Circuit,Australia
2,Sepang International Circuit,Malaysia
3,Bahrain International Circuit,Bahrain
4,Circuit de Barcelona-Catalunya,Spain
5,Istanbul Park,Turkey
6,Circuit de Monaco,Monaco
7,Circuit Gilles Villeneuve,Canada
8,Circuit de Nevers Magny-Cours,France
9,Silverstone Circuit,UK
10,Hockenheimring,Germany
11,Hungaroring,Hungary
12,Valencia Street Circuit,Spain
13,Circuit de Spa-Francorchamps,Belgium
14,Autodromo Nazionale di Monza,Italy
15,Marina Bay Street Circuit,Singapore
16,Fuji Speedway,Japan
17,Shanghai International Circuit,China
18,Autódromo José Carlos Pace,Brazil
19,Indianapolis Motor Speedway,USA
20,Nürburgring,Germany
21,Autodromo Enzo e Dino Ferrari,Italy
22,Suzuka Circuit,Japan
23,A1-Ring,Austria
24,Yas Marina Circuit,UAE
25,Autódromo Juan y Oscar Gálvez,Argentina
26,Circuito de Jerez,Spain
27,Autódromo do Estoril,Portugal
28,Okayama International Circuit,Japan
29,Adelaide Street Circuit,Australia
30,Kyalami,South Africa
31,Donington Park,UK
32,Autódromo Hermanos Rodríguez,Mexico
33,Phoenix street circuit,USA
34,Circuit Paul Ricard,France
35,Korean International Circuit,Korea
36,Autódromo Internacional Nelson Piquet,Brazil
37,Detroit Street Circuit,USA
38,Brands Hatch,UK
39,Circuit Park Zandvoort,Netherlands
40,Zolder,Belgium
41,Dijon-Prenois,France
42,Fair Park,USA
43,Long Beach,USA
44,Las Vegas Street Circuit,USA
45,Jarama,Spain
46,Watkins Glen,USA
47,Scandinavian Raceway,Sweden
48,Mosport International Raceway,Canada
49,Montjuïc,Spain
50,Nivelles-Baulers,Belgium
51,Charade Circuit,France
52,Circuit Mont-Tremblant,Canada
53,Rouen-Les-Essarts,France
54,Le Mans,France
55,Reims-Gueux,France
56,Prince George Circuit,South Africa
57,Zeltweg,Austria
58,Aintree,UK
59,Circuito da Boavista,Portugal
60,Riverside International Raceway,USA
61,AVUS,Germany
62,Monsanto Park Circuit,Portugal
63,Sebring International Raceway,USA
64,Ain Diab,Morocco
65,Pescara Circuit,Italy
66,Circuit Bremgarten,Switzerland
67,Circuit de Pedralbes,Spain
68,Buddh International Circuit,India
69,Circuit of the Americas,USA
70,Red Bull Ring,Austria
71,Sochi Autodrom,Russia
72,Port Imperial Street Circuit,USA
73,Baku City Circuit,Azerbaijan
74,Hanoi Street Circuit,Vietnam
75,Autódromo Internacional do Algarve,Portugal
76,Autodromo Internazionale del Mugello,Italy
77,Jeddah Street Circuit,Saudi Arabia
